Year,Month,Hydro,Wind,Bio,Peat,Solar,Sum
2018,12,155162,1585062,674714,13101,622,2428661
2018,11,121369,1585718,584067,9390,2058,2302602
2018,10,77912,1902032,465956,4040,7258,2457198
2018,9,71592,1881064,340669,2457,11378,2307160
2018,8,62731,1260531,249057,2829,15024,1590172
2018,7,68296,639833,195738,1582,21606,927055
2018,6,88344,1332018,231733,2074,20080,1674249
2018,5,144296,1019172,281207,1991,21248,1467914
2018,4,148395,1252138,430171,5011,12617,1848332
2018,3,169335,1154608,574325,10978,6233,1915479
2018,2,174963,1089672,541665,9496,1852,1817648
2018,1,191060,1468377,592495,10427,800,2263159
2017,12,183197,1776360,604175,10217,555,2574504
2017,11,153957,1606424,536408,7994,1582,2306365
2017,10,145073,1865109,442052,6319,3678,2462231
2017,9,142440,978059,311527,2122,5631,1439779
2017,8,120536,1103340,227403,1615,10524,1463418
2017,7,116138,1006504,215618,823,12685,1351768
2017,6,97395,1284112,252071,2567,11801,1647946
2017,5,113519,1069548,357594,3724,12033,1556418
2017,4,134164,1414206,552300,7392,8326,2116388
2017,3,150050,1672435,614046,14325,4838,2455694
2017,2,140194,1323454,599323,11532,1721,2076224
2017,1,150224,1939220,627299,11778,774,2729295
2016,12,123398,2296861,605489,15054,563,3041365
2016,11,113167,1743404,564703,11862,875,2434011
2016,10,98298,1400238,492931,5905,2423,1999795
2016,9,92566,991212,233927,1577,5445,1324727
2016,8,84460,1149813,192545,1120,6426,1434364
2016,7,86584,811714,184949,960,7752,1091959
2016,6,103452,909960,176572,1335,7078,1198397
2016,5,122113,863781,290461,2109,6609,1285073
2016,4,143228,1042246,428533,6953,4250,1625210
2016,3,165670,995909,473248,13137,2601,1650565
2016,2,167882,1367626,441846,13479,1267,1992100
2016,1,170327,1366995,484111,12535,246,2034214
2015,12,150728,2213638,487198,12718,270,2864552
2015,11,136811,1471804,439272,9080,489,2057456
2015,10,137771,1196764,369962,10514,1704,1716715
2015,9,129058,1116231,238938,1472,2683,1488382
2015,8,147261,869491,201422,521,4331,1223026
2015,7,152163,881698,176692,475,3756,1214784
2015,6,151756,1018800,226303,670,3659,1401188
2015,5,127081,1200653,391092,3177,2937,1724940
2015,4,133730,1335564,416586,6632,2741,1895253
2015,3,162175,1371136,482228,9417,1514,2026470
2015,2,144938,1446928,457728,10195,358,2060147
2015,1,144199,1491613,509550,12258,102,2157722
2014,12,148696,1507730,565343,13563,113,2235445
2014,11,132469,970226,483577,10041,110,1596423
2014,10,100053,1242302,392840,5214,475,1740884
2014,9,89760,736099,279462,2174,1342,1108837
2014,8,84919,722084,245887,1100,1539,1055529
2014,7,81156,518928,224717,869,2079,827749
2014,6,101209,606398,296617,1481,1680,1007385
2014,5,105627,675574,363133,5530,1469,1151333
2014,4,121151,861952,419113,8416,1251,1411883
2014,3,137572,1150944,496733,24991,589,1810829
2014,2,125780,846598,454376,19345,102,1446201
2014,1,147723,1184924,505973,13655,22,1852297
2013,12,98381,1562386,514956,13461,45,2189229
2013,11,73533,1097889,484876,9897,116,1666311
2013,10,61117,1061461,396418,5569,246,1524811
2013,9,59763,615206,307572,1076,451,984068
2013,8,56209,532985,223673,1284,560,814711
2013,7,55903,605211,264575,1098,636,927423
2013,6,62855,530221,286421,2383,603,882483
2013,5,77971,685494,362254,4946,509,1131174
2013,4,59705,876537,503574,9613,303,1449732
2013,3,73567,854060,622202,17240,193,1567262
2013,2,77740,531149,605688,20001,33,1234611
2013,1,87965,733547,658135,42464,10,1522121
2012,12,299727,671378,1185846,72763,3,2229717
2012,11,310489,805066,991814,58845,12,2166226
2012,10,290625,638941,889602,15956,54,1835178
2012,9,217149,741965,687628,7610,102,1654454
2012,8,217541,351977,581532,1785,136,1152971
2012,7,259737,416439,560916,1914,158,1239164
2012,6,202998,424904,635784,5603,149,1269438
2012,5,262868,526975,771759,11186,166,1572954
2012,4,248582,516478,1010811,52554,107,1828532
2012,3,267913,768387,1082455,88853,100,2207708
2012,2,254016,669122,1097019,124051,33,2144241
2012,1,314005,631707,1151469,113371,9,2210561
2011,12,297939,900255,1132259,127184,5,2457642
2011,11,238873,544621,953553,56283,12,1793342
2011,10,270001,671853,789161,17331,33,1748379
2011,9,262618,552442,592300,7290,56,1414706
2011,8,200393,343925,477186,3435,72,1025011
2011,7,157870,288567,557354,2699,77,1006567
2011,6,172376,340819,616001,6842,89,1136127
2011,5,188959,447698,742548,38322,84,1417611
2011,4,264324,416253,920616,75615,67,1676875
2011,3,213454,635937,1185485,89745,49,2124670
2011,2,212511,496890,1110854,102545,7,1922807
2011,1,223868,464875,1260347,131048,5,2080143
2010,12,220450,380678,1234163,113594,,1948885
2010,11,257298,468600,1114158,83616,6,1923678
2010,10,220750,462039,974011,26775,29,1683604
2010,9,200855,329737,727772,10246,40,1268650
2010,8,194920,227485,588854,7582,34,1018875
2010,7,136414,240101,571325,7554,45,955439
2010,6,214710,188170,664866,4357,45,1072148
2010,5,255660,215776,836727,12664,37,1320864
2010,4,260408,240026,950128,103272,33,1553867
2010,3,219438,280287,1206619,132209,8,1838561
2010,2,194748,200227,1096562,143953,1,1635491
2010,1,235412,252951,1203738,146602,,1838703
2009,12,285092,212986,1122914,144460,,1765452
2009,11,240238,333464,940964,64900,,1579566
2009,10,179010,252826,898290,22389,11,1352526
2009,9,181639,296147,639564,8245,21,1125616
2009,8,186960,191712,552570,8958,34,940234
2009,7,180887,167492,537877,13666,32,899954
2009,6,137152,171089,626364,8621,36,943262
2009,5,159432,190075,708429,56969,38,1114943
2009,4,227324,136528,810447,109457,31,1283787
2009,3,215633,195852,1002203,152342,8,1566038
2009,2,204268,127677,932271,138870,,1403086
2009,1,243989,214271,994096,142554,1,1594911
2008,12,285407,153140,971002,111206,,1520755
2008,11,254986,246864,919985,115797,1,1537633
2008,10,218673,258745,818412,74226,7,1370063
2008,9,184936,121571,708444,69238,8,1084197
2008,8,172950,145445,550541,6722,15,875673
2008,7,77434,85012,531159,1637,23,695265
2008,6,91275,129014,580015,6732,25,807061
2008,5,181777,62862,696307,41016,23,981985
2008,4,264595,92573,837597,83106,16,1277887
2008,3,295496,196869,993927,108515,10,1594817
2008,2,283601,230749,958392,100871,1,1573614
2008,1,296219,277464,1033533,115125,,1722341
2007,12,262817,174585,1040161,123350,,1600913
2007,11,163996,154930,982226,93577,,1394729
2007,10,145450,94279,753840,73612,1,1067182
2007,9,121273,136139,532408,20576,2,810398
2007,8,149873,91431,519023,396,4,760727
2007,7,156841,100420,526193,402,1,783857
2007,6,97097,63951,541793,6338,4,709183
2007,5,136864,84743,651581,15180,3,888371
2007,4,201722,112907,724977,39520,3,1079129
2007,3,264992,125007,905760,60079,,1355838
2007,2,228007,109017,926270,66638,1,1329933
2007,1,266415,184235,945423,79953,,1476026
2006,12,280868,174212,884132,64919,,1404131
2006,11,251240,129180,911367,52510,,1344297
2006,10,164193,90715,749109,33757,1,1037775
2006,9,124937,81914,529250,6371,2,742474
2006,8,86906,41253,474668,3773,3,606603
2006,7,58440,39512,454460,5896,4,558312
2006,6,134728,54035,465862,2061,5,656691
2006,5,231301,78698,606681,16902,3,933585
2006,4,220697,72306,762340,67605,2,1122950
2006,3,151208,70301,932019,78741,,1232269
2006,2,144593,66331,860790,112418,,1184132
2006,1,169409,89883,962858,111429,,1333579
2005,12,175403,101729,910103,111382,,1298617
2005,11,152321,102954,724603,64826,,1044704
2005,10,82656,83050,594763,17540,,778009
2005,9,91099,71675,424371,4427,,591572
2005,8,139862,58783,440845,7206,1,646697
2005,7,82776,42258,434338,283,1,559656
2005,6,137161,56748,480946,5229,1,680085
2005,5,144748,52893,641495,24852,1,863989
2005,4,189481,68105,710960,56697,1,1025244
2005,3,180393,64974,874186,112081,,1231634
2005,2,192663,93232,811166,113771,,1210832
2005,1,230154,142724,878018,115714,,1366610
2004,12,236995,111510,870981,122549,,1342035
2004,11,196173,86610,790451,110191,,1183425
2004,10,176811,83904,631766,64598,1,957080
2004,9,137892,89252,458380,15368,,700892
2004,8,106313,52408,420253,6899,1,585874
2004,7,128108,44730,428500,2122,1,603461
2004,6,66521,59750,467826,35394,,629491
2004,5,125736,67804,561030,75457,1,830028
2004,4,208231,49555,670162,112203,1,1040152
2004,3,198854,81162,833132,,1,1113149
2004,2,195766,67939,754710,,,1018415
2004,1,190842,69922,783589,,,1044353
2003,12,176245,108674,818576,,,1103495
2003,11,104650,51225,746143,,,902018
2003,10,62132,59982,646640,,,768754
2003,9,57845,56700,388893,,1,503439
2003,8,89385,48075,359157,,1,496618
2003,7,155684,26086,387668,,,569438
2003,6,124533,52053,381041,,1,557628
2003,5,193163,52448,490158,,1,735770
